,tile,latitude,longitude,zip,avg income
1,14_2806_6532.jpg,34.209090909090904,-118.33333333333333,91504,78.98004788507582
2,14_2834_6533.jpg,34.19090909090909,-117.71111111111111,91759,75.85652173913043
3,14_2820_6531.jpg,34.22727272727273,-118.02222222222221,91024,125.56939890710383
4,14_2826_6550.jpg,33.881818181818176,-117.88888888888889,92831,71.76988968202465
5,14_2807_6534.jpg,34.17272727272727,-118.3111111111111,91501,75.29615773508594
7,14_2804_6529.jpg,34.26363636363636,-118.37777777777777,91040,72.13292929292929
8,14_2823_6552.jpg,33.845454545454544,-117.95555555555555,92801,40.61472785485592
9,14_2805_6550.jpg,33.881818181818176,-118.35555555555555,90260,44.443333333333335
10,14_2810_6528.jpg,34.28181818181818,-118.24444444444444,91214,97.01721714687281
11,14_2825_6553.jpg,33.82727272727272,-117.91111111111111,92805,42.11272613849033
12,14_2797_6532.jpg,34.209090909090904,-118.53333333333333,91325,69.73597444089457
13,14_2800_6531.jpg,34.22727272727273,-118.46666666666665,91402,34.91076015272475
14,14_2834_6530.jpg,34.24545454545454,-117.71111111111111,91759,75.85652173913043
15,14_2828_6532.jpg,34.209090909090904,-117.84444444444443,91741,106.35219155844156
16,14_2808_6555.jpg,33.79090909090909,-118.28888888888888,90710,54.14452736318408
17,14_2804_6532.jpg,34.209090909090904,-118.37777777777777,91352,45.128510028653295
18,14_2812_6539.jpg,34.08181818181818,-118.19999999999999,90032,42.16275201612903
19,14_2825_6529.jpg,34.26363636363636,-117.91111111111111,91741,106.35219155844156
20,14_2830_6529.jpg,34.26363636363636,-117.8,91759,75.85652173913043
21,14_2837_6551.jpg,33.86363636363636,-117.64444444444445,92882,62.81206081081081
22,14_2814_6529.jpg,34.26363636363636,-118.15555555555555,91001,99.81892980437284
23,14_2804_6552.jpg,33.845454545454544,-118.37777777777777,90278,109.74670302429351
24,14_2797_6538.jpg,34.099999999999994,-118.53333333333333,91436,466.5886813186813
25,14_2827_6554.jpg,33.809090909090905,-117.86666666666666,92865,68.74136178861788
26,14_2836_6531.jpg,34.22727272727273,-117.66666666666666,91759,75.85652173913043
27,14_2809_6532.jpg,34.209090909090904,-118.26666666666667,91214,97.01721714687281
29,14_2821_6528.jpg,34.28181818181818,-118.0,91024,125.56939890710383
30,14_2795_6540.jpg,34.06363636363636,-118.57777777777777,90272,512.4811965811966
31,14_2800_6528.jpg,34.28181818181818,-118.46666666666665,91340,38.23636968085106
32,14_2799_6529.jpg,34.26363636363636,-118.48888888888888,91345,47.67878453038674
33,14_2795_6530.jpg,34.24545454545454,-118.57777777777777,91324,71.33084464555053
34,14_2811_6530.jpg,34.24545454545454,-118.22222222222221,91214,97.01721714687281
35,14_2832_6530.jpg,34.24545454545454,-117.75555555555555,91759,75.85652173913043
36,14_2803_6530.jpg,34.24545454545454,-118.39999999999999,91352,45.128510028653295
37,14_2801_6532.jpg,34.209090909090904,-118.44444444444444,91402,34.91076015272475
38,14_2804_6537.jpg,34.11818181818182,-118.37777777777777,91602,100.23727758007118
39,14_2826_6536.jpg,34.13636363636363,-117.88888888888889,91741,106.35219155844156
40,14_2813_6537.jpg,34.11818181818182,-118.17777777777778,91105,228.03001508295625
42,14_2802_6528.jpg,34.28181818181818,-118.42222222222222,91342,47.76937002172339
43,14_2805_6531.jpg,34.22727272727273,-118.35555555555555,91352,45.128510028653295
44,14_2833_6528.jpg,34.28181818181818,-117.73333333333333,91759,75.85652173913043
45,14_2826_6529.jpg,34.26363636363636,-117.88888888888889,91741,106.35219155844156
46,14_2818_6529.jpg,34.26363636363636,-118.06666666666666,91024,125.56939890710383
47,14_2818_6530.jpg,34.24545454545454,-118.06666666666666,91024,125.56939890710383
48,14_2817_6530.jpg,34.24545454545454,-118.08888888888889,91001,99.81892980437284
49,14_2829_6537.jpg,34.11818181818182,-117.82222222222222,91773,79.90953530476766
50,14_2813_6532.jpg,34.209090909090904,-118.17777777777778,91011,289.306243496358
51,14_2820_6529.jpg,34.26363636363636,-118.02222222222221,91024,125.56939890710383
52,14_2821_6555.jpg,33.79090909090909,-118.0,90680,42.59653929343908
53,14_2800_6532.jpg,34.209090909090904,-118.46666666666665,91402,34.91076015272475
54,14_2804_6540.jpg,34.06363636363636,-118.37777777777777,90048,135.28460317460318
55,14_2801_6538.jpg,34.099999999999994,-118.44444444444444,90077,497.3655860349127
56,14_2831_6531.jpg,34.22727272727273,-117.77777777777777,91759,75.85652173913043
57,14_2812_6556.jpg,33.772727272727266,-118.19999999999999,90813,30.364001848428835
58,14_2835_6530.jpg,34.24545454545454,-117.68888888888888,91759,75.85652173913043
59,14_2819_6537.jpg,34.11818181818182,-118.04444444444444,91006,115.11343900758098
60,14_2832_6531.jpg,34.22727272727273,-117.75555555555555,91759,75.85652173913043
61,14_2827_6552.jpg,33.845454545454544,-117.86666666666666,92865,68.74136178861788
62,14_2822_6537.jpg,34.11818181818182,-117.97777777777777,91010,57.298183319570605
63,14_2825_6531.jpg,34.22727272727273,-117.91111111111111,91741,106.35219155844156
64,14_2812_6528.jpg,34.28181818181818,-118.19999999999999,91011,289.306243496358
65,14_2814_6531.jpg,34.22727272727273,-118.15555555555555,91001,99.81892980437284
66,14_2819_6555.jpg,33.79090909090909,-118.04444444444444,92845,81.21138310893512
67,14_2804_6542.jpg,34.027272727272724,-118.37777777777777,90016,42.65792764627066
69,14_2838_6531.jpg,34.22727272727273,-117.62222222222222,91759,75.85652173913043
70,14_2805_6529.jpg,34.26363636363636,-118.35555555555555,91040,72.13292929292929
71,14_2832_6540.jpg,34.06363636363636,-117.75555555555555,91767,43.09675751879699
72,14_2797_6528.jpg,34.28181818181818,-118.53333333333333,91344,75.2203362690152
73,14_2821_6554.jpg,33.809090909090905,-118.0,92804,43.54262079831933
75,14_2837_6535.jpg,34.15454545454545,-117.64444444444445,91784,111.6724031007752
76,14_2821_6531.jpg,34.22727272727273,-118.0,91024,125.56939890710383
77,14_2806_6537.jpg,34.11818181818182,-118.33333333333333,90068,133.53496563573884
78,14_2816_6530.jpg,34.24545454545454,-118.1111111111111,91001,99.81892980437284
79,14_2795_6537.jpg,34.11818181818182,-118.57777777777777,90290,164.16734006734006
80,14_2796_6529.jpg,34.26363636363636,-118.55555555555554,91326,109.77559241706162
81,14_2811_6528.jpg,34.28181818181818,-118.22222222222221,91214,97.01721714687281
82,14_2810_6531.jpg,34.22727272727273,-118.24444444444444,91214,97.01721714687281
83,14_2798_6530.jpg,34.24545454545454,-118.5111111111111,91344,75.2203362690152
84,14_2822_6532.jpg,34.209090909090904,-117.97777777777777,91010,57.298183319570605
85,14_2827_6537.jpg,34.11818181818182,-117.86666666666666,91740,63.04563650920736
86,14_2833_6553.jpg,33.82727272727272,-117.73333333333333,92808,120.36652806652806
87,14_2838_6552.jpg,33.845454545454544,-117.62222222222222,92882,62.81206081081081
88,14_2821_6552.jpg,33.845454545454544,-118.0,90621,52.549723417332515
89,14_2814_6532.jpg,34.209090909090904,-118.15555555555555,91001,99.81892980437284
91,14_2832_6532.jpg,34.209090909090904,-117.75555555555555,91759,75.85652173913043
92,14_2836_6555.jpg,33.79090909090909,-117.66666666666666,92676,110.45436893203883
93,14_2806_6529.jpg,34.26363636363636,-118.33333333333333,91040,72.13292929292929
94,14_2835_6535.jpg,34.15454545454545,-117.68888888888888,91784,111.6724031007752
96,14_2837_6530.jpg,34.24545454545454,-117.64444444444445,91759,75.85652173913043
97,14_2807_6552.jpg,33.845454545454544,-118.3111111111111,90248,62.22262118491921
